%
Project ID	saudardalsstifla
Sounding ID	6
Zero values	2442.8 27492.0 2051.0 2476.5 27468.0 2050.6
#
Depth	ROP	Feed force	U2	QC	FS	Friction Ratio
3.95	18.5	9.0	79.95	1.594	44.2	2.0
3.96	17.9	9.2	71.25	1.63	44.7	2.0
3.97	18.3	9.2	72.45	1.652	43.6	2.0
3.98	18.5	9.1	81.75	1.659	45.55	2.0
3.99	18.0	9.1	91.6	1.684	47.8	2.0
4.00	18.3	9.2	84.96	1.657	51.76	3.0
4.01	18.2	9.1	69.8	1.59	54.6	3.0
4.02	18.0	9.1	74.59	1.509	54.45	3.0
4.03	18.2	9.2	85.4	1.44	57.45	3.0
4.04	17.6	9.4	85.8	1.424	60.85	4.0
4.05	18.2	9.5	79.8	1.474	59.2	4.0
4.06	18.0	9.4	77.2	1.564	55.1	3.0
4.07	18.2	9.3	89.5	1.607	53.45	3.0
4.08	17.9	9.3	106.8	1.581	55.15	3.0
4.09	19.0	9.1	122.55	1.567	54.5	3.0
4.10	18.2	9.0	131.76	1.55	52.63	3.0
4.11	18.3	9.0	127.15	1.467	50.8	3.0
4.12	17.6	8.9	138.75	1.39	51.85	3.0
4.13	18.9	9.0	160.44	1.359	53.75	3.0
4.14	17.7	8.9	170.25	1.347	52.8	3.0
4.15	18.4	8.9	172.7	1.349	50.4	3.0
4.16	17.8	9.0	172.45	1.383	47.75	3.0
4.17	18.3	9.1	170.7	1.391	47.15	3.0
4.18	17.5	9.1	172.55	1.385	47.95	3.0
4.19	18.0	9.2	183.36	1.398	50.73	3.0
4.20	18.2	9.1	191.4	1.373	53.8	3.0
4.21	18.3	9.1	188.4	1.369	50.35	3.0
4.22	18.9	9.1	180.85	1.334	51.4	3.0
4.23	17.9	9.0	178.7	1.281	53.65	4.0
4.24	18.1	9.0	177.6	1.204	52.7	4.0
4.25	18.2	9.0	174.85	1.149	55.45	4.0
4.26	17.7	9.0	173.95	1.183	54.55	4.0
4.27	17.8	9.2	175.65	1.215	49.8	4.0
4.28	17.9	9.4	183.55	1.242	49.85	4.0
4.29	18.5	9.5	199.65	1.334	50.7	3.0
4.30	17.7	9.5	209.13	1.436	52.0	3.0
4.31	18.7	9.5	207.4	1.435	52.4	3.0
4.32	18.3	9.3	209.15	1.37	55.8	4.0
4.33	18.8	9.2	208.7	1.327	55.4	4.0
4.34	17.9	9.2	162.75	1.261	56.25	4.0
4.35	18.2	9.2	102.75	1.201	61.2	5.0
4.36	18.0	9.2	85.2	1.224	56.35	4.0
4.37	18.5	9.0	79.09	1.278	50.05	3.0
4.38	17.9	9.0	70.4	1.309	46.25	3.0
4.39	18.2	8.9	65.25	1.307	41.7	3.0
4.40	18.8	9.0	65.25	1.288	39.9	3.0
4.41	17.8	9.0	65.56	1.273	38.6	3.0
4.42	17.4	9.3	66.95	1.313	36.2	2.0
4.43	17.5	9.7	69.7	1.445	34.7	2.0
4.44	17.8	10.0	75.05	1.619	33.7	2.0
4.45	17.6	10.5	82.05	1.779	31.75	1.0
4.46	17.3	11.0	88.4	1.991	28.7	1.0
4.47	18.4	11.2	94.2	2.283	27.5	1.0
4.48	18.3	11.0	101.33	2.576	26.06	1.0
4.49	18.9	10.9	103.7	2.664	23.7	0.0
4.50	18.5	10.7	97.13	2.521	19.86	0.0
4.51	18.3	10.6	88.35	2.321	16.7	0.0
4.52	18.9	10.3	80.15	2.193	15.9	0.0
4.53	18.3	10.0	70.8	2.069	15.2	0.0
4.54	18.5	9.9	66.8	1.922	14.75	0.0
4.55	17.9	9.8	67.05	1.766	15.05	0.0
4.56	18.7	9.7	66.65	1.656	15.7	0.0
4.57	18.3	9.5	64.4	1.576	16.6	1.0
4.58	18.4	9.4	62.0	1.473	18.1	1.0
4.59	18.1	9.4	60.6	1.369	19.45	1.0
4.60	18.3	9.3	59.8	1.3	20.3	1.0
4.61	18.0	9.4	59.06	1.273	20.63	1.0
4.62	18.4	9.5	59.2	1.265	21.15	1.0
4.63	18.1	9.5	59.9	1.251	21.8	1.0
4.64	18.4	9.4	62.45	1.238	23.15	1.0
4.65	18.0	9.3	64.0	1.196	24.1	2.0
4.66	18.1	9.3	64.75	1.127	25.6	2.0
4.67	18.7	9.3	70.9	1.072	29.15	2.0
4.68	17.8	9.3	77.5	1.047	31.7	3.0
4.69	18.2	9.4	79.45	1.049	31.85	3.0
